iso3,quarter,split,actual,arima_pred,var_pred
GBR,2022Q2,test,8.752604941947029,8.832634188209129,9.294599987789239
GBR,2022Q3,test,9.40970192869668,8.72727968574057,8.3295526567409
GBR,2022Q4,test,8.975468975468992,9.656330297790197,9.461677412040743
GBR,2023Q1,test,7.683741648106901,8.741234125993033,7.466110298431875
GBR,2023Q2,test,6.350944429236249,7.290338588805005,6.595305771840852
GBR,2023Q3,test,4.353632478632474,5.98058661516745,5.135126626768029
GBR,2023Q4,test,3.9194915254237017,3.668942797315271,2.7906328519162447
GBR,2024Q1,test,2.869700103412609,4.020147662749249,3.0139064560104125
GBR,2024Q2,test,2.9086229086229265,2.41821043390627,2.349290571304911
GBR,2024Q3,test,3.4041464038904623,3.0883563493550588,2.4448438821933376
GBR,2024Q4,test,,3.524542042966057,3.5335239462338426
IDN,2019Q1,val,3.1441912904023317,2.520867144166961,2.341843139800128
IDN,2019Q2,val,3.400165698097579,3.2569529971602114,2.874068091739378
IDN,2019Q3,val,2.9494449398904665,3.426106846540878,2.1967584403842206
IDN,2019Q4,val,2.9205994896074117,2.862934069930173,2.969245618457533
IDN,2020Q1,val,2.1129537073867777,2.9310564023551553,-3.981296367172712
IDN,2020Q2,val,1.1993789323661908,1.9648318429402247,-6.9835679793344285
IDN,2020Q3,val,1.4684337112277124,1.0594754167714566,-10.148094408759672
IDN,2020Q4,val,1.4314104460252386,1.5429453380561424,4.792839636997016
IDN,2021Q1,test,1.47747890082508,1.4110987481486312,5.033720214934824
IDN,2021Q2,test,1.5697616504137368,1.4895746734503659,5.9432077312145815
IDN,2021Q3,test,1.760545100954225,1.5843773677749762,3.005421791737807
IDN,2021Q4,test,2.291323193276873,1.7926672815120326,4.779669191037392
IDN,2022Q1,test,3.7917031215537023,2.382385897657159,3.4538783180559367
IDN,2022Q2,test,5.193322894719943,4.051961948913588,4.87028498160403
IDN,2022Q3,test,5.545037964237842,5.408635972059209,6.00886392988565
IDN,2022Q4,test,5.238895158158585,5.570903737366742,5.91059648097656
IDN,2023Q1,test,3.948817254325654,5.175748046542513,4.802277542269259
IDN,2023Q2,test,2.872978442615159,3.7139281329265765,3.54943116110677
IDN,2023Q3,test,2.6798810535213935,2.70996684528248,2.826467884782703
IDN,2023Q4,test,2.5706346565810945,2.674030591002955,2.7814298777446984
IDN,2024Q1,test,2.6431909234097217,2.550495798167478,3.0943199105356367
IDN,2024Q2,test,1.940581476504466,2.6612439448829948,3.226924949022566
IDN,2024Q3,test,1.581357261815497,1.8004132274774107,2.247491777156587
IDN,2024Q4,test,,1.5387088031729992,2.0035817498306625
IND,2019Q1,val,8.525345066965407,7.0471989198401515,7.185154955499834
IND,2019Q2,val,6.422973160364154,8.538420071857072,8.859873343342217
IND,2019Q3,val,8.618775721011552,6.4586082773520515,6.393815936972687
IND,2019Q4,val,6.608915188538678,8.509748021541562,8.275680026638163
IND,2020Q1,val,5.20169182640049,6.755448975949946,7.264995310655494
IND,2020Q2,val,5.530690893639845,5.292938041628353,4.032540228800224
IND,2020Q3,val,4.952369251127764,5.516042998554875,4.406724564775502
IND,2020Q4,val,4.435927149766772,4.988071513917107,4.4677201998270935
IND,2021Q1,test,5.325830419983935,4.469631264930188,4.519192459525581
IND,2021Q2,test,4.824358579773658,5.270525276389929,5.890124272301373
IND,2021Q3,test,4.969284206984215,4.85425772572268,4.174671688746814
IND,2021Q4,test,5.409227339364064,4.961510699812357,5.093714376481536
IND,2022Q1,test,6.484506154735836,5.37906049510339,7.151342106929897
IND,2022Q2,test,6.041736135086939,6.414023019494751,7.642007982786616
IND,2022Q3,test,5.6648973342213305,6.0663849666773855,7.028983027873171
IND,2022Q4,test,6.0356153408048785,5.691376122560317,6.2131968576712095
IND,2023Q1,test,5.0272468060355235,6.012574144839055,6.1277773847341255
IND,2023Q2,test,6.387327008927279,5.095376640874436,5.310044150406618
IND,2023Q3,test,4.782294624164907,6.28750491976428,6.646346554737178
IND,2023Q4,test,4.563706424866387,4.916281212051923,5.169696114681512
IND,2024Q1,test,3.799630674196508,4.5938730129317955,4.424345131145147
IND,2024Q2,test,2.9298809934065417,3.866452875281278,3.4771943508130096
IND,2024Q3,test,3.939452674045651,3.003759433032871,2.6861300776026336
IND,2024Q4,test,,3.8601760298810275,3.7189887547684615
ITA,2019Q1,val,0.8482871125611746,0.7952786701500926,0.7909829227803733
ITA,2019Q2,val,0.3566796368352776,0.8715035086247578,0.6579982945266516
ITA,2019Q3,val,0.2928734136023347,0.13420224116076457,0.2843559865723731
ITA,2019Q4,val,0.2924926876828104,0.3583871615502094,0.4003515150723832
ITA,2020Q1,val,-0.129407958589478,0.2649955140476822,0.4292358804216494
ITA,2020Q2,val,-0.4846526655896577,-0.29853954066157806,-0.5328715661531348
ITA,2020Q3,val,-0.2271252433484805,-0.5651487496080966,-0.9463796103745672
ITA,2020Q4,val,0.5832793259883173,-0.08051680721211871,-0.739422911929677
ITA,2021Q1,test,1.1985746679624265,0.881717352693864,1.278439161314975
ITA,2021Q2,test,2.1753246753246636,1.3438813701591854,2.550839207127789
ITA,2021Q3,test,3.5447154471544673,2.5687823892330552,2.1862789614047218
ITA,2021Q4,test,5.670103092783507,4.040570183001481,3.860910216310622
ITA,2022Q1,test,6.914212548015364,6.615798982375267,6.251032503565815
ITA,2022Q2,test,8.388941849380371,7.075723742963988,7.2391319095473
ITA,2022Q3,test,11.746231155778908,9.133577326828844,8.41595631238879
ITA,2022Q4,test,8.902439024390251,13.484368682142811,14.647427247275735
ITA,2023Q1,test,7.3952095808383245,7.83385941887034,7.783658489067851
ITA,2023Q2,test,5.570214013485786,7.320250781482129,8.085702026608558
ITA,2023Q3,test,0.983698707138836,5.063982708841948,2.7292724128023638
ITA,2023Q4,test,0.9238521836506308,-0.7694080547885753,-1.3692314253138127
ITA,2024Q1,test,0.8084750487872938,1.4900405397174608,-0.8516107736465699
ITA,2024Q2,test,1.0274923632324295,0.6009923867209298,-0.7990500990215825
ITA,2024Q3,test,1.1689396047871004,1.1678414103598165,1.2844391005472942
ITA,2024Q4,test,,1.1692964180417065,1.2770169150360524
JPN,2019Q1,val,0.7392950902673556,0.22160627749376438,0.0010036575997177666
JPN,2019Q2,val,0.3345696076324289,0.812322548050614,0.19562832045807588
JPN,2019Q3,val,0.5001318291167234,0.2733553523438825,-0.19187046443017308
JPN,2019Q4,val,0.6686259113558579,0.5280655814209398,0.4704258286346121
JPN,2020Q1,val,0.1334129704797515,0.6863474442635976,0.5279047056006447
JPN,2020Q2,val,0.0333421219411045,0.06485566134089212,-0.10973092910808681
JPN,2020Q3,val,-0.9289987013050504,0.029464061555793522,-0.15574268799435922
JPN,2020Q4,val,-0.5313479986860048,-1.047106467512711,-0.8251126915774477
JPN,2021Q1,test,-0.7328918553429542,-0.47973436581991946,-0.3746629325275096
JPN,2021Q2,test,,-0.7574274785595402,0.4472218331126083
JPN,2021Q3,test,,-0.7574274785595402,0.7940251429492888
JPN,2021Q4,test,,-0.7574274785595402,-0.305406605468738
JPN,2022Q1,test,,-0.7574274785595402,-0.3978456417075519
JPN,2022Q2,test,,-0.7574274785595402,-0.022581582511891185
JPN,2022Q3,test,,-0.7574274785595402,
JPN,2022Q4,test,,-0.7574274785595402,
JPN,2023Q1,test,,-0.7574274785595402,
JPN,2023Q2,test,,-0.7574274785595402,
