iso3,quarter,actual,stgnn_pred,split
AUS,2023Q1,6.026980876922607,6.274543285369873,test
BRA,2023Q1,3.7586686611175537,4.595561981201172,test
CAN,2023Q1,3.519561290740967,4.400275707244873,test
CHE,2023Q1,2.143342971801758,2.4546666145324707,test
CHN,2023Q1,0.09732579439878464,0.49008017778396606,test
DEU,2023Q1,6.546891689300537,7.488998889923096,test
FRA,2023Q1,5.175396919250488,5.2443718910217285,test
GBR,2023Q1,7.683741569519043,8.228525161743164,test
IDN,2023Q1,3.948817253112793,4.493661880493164,test
IND,2023Q1,5.027246952056885,5.290451526641846,test
ITA,2023Q1,7.395209789276123,8.156046867370605,test
KOR,2023Q1,3.229705810546875,3.9966208934783936,test
MEX,2023Q1,5.712390899658203,6.710495948791504,test
NLD,2023Q1,5.641082763671875,5.873067855834961,test
SAU,2023Q1,2.736637830734253,2.2685768604278564,test
SGP,2023Q1,6.130954265594482,5.38114070892334,test
TUR,2023Q1,40.42638397216797,53.586387634277344,test
USA,2023Q1,4.043936252593994,4.980051040649414,test
VNM,2023Q1,3.1565074920654297,2.4111673831939697,test
ZAF,2023Q1,6.41892671585083,6.556849479675293,test
ARG,2023Q2,125.89154052734375,112.05426025390625,test
AUS,2023Q2,5.373856067657471,5.077836036682129,test
BRA,2023Q2,4.594013214111328,2.811901569366455,test
CAN,2023Q2,3.686723232269287,2.5689213275909424,test
CHE,2023Q2,1.6046868562698364,1.1925327777862549,test
CHN,2023Q2,-0.06458088010549545,-0.8726745247840881,test
DEU,2023Q2,5.6038336753845215,5.584866523742676,test
FRA,2023Q2,4.681553840637207,4.220432281494141,test
GBR,2023Q2,6.350944519042969,6.7288312911987305,test
IDN,2023Q2,2.872978448867798,2.9996445178985596,test
IND,2023Q2,6.387327194213867,4.070660591125488,test
ITA,2023Q2,5.570213794708252,6.440040111541748,test
KOR,2023Q2,3.1352477073669434,2.2712152004241943,test
MEX,2023Q2,4.625376224517822,4.763361930847168,test
NLD,2023Q2,2.5724337100982666,4.686615467071533,test
SAU,2023Q2,1.98320472240448,1.7870581150054932,test
SGP,2023Q2,6.130954265594482,5.17746639251709,test
TUR,2023Q2,56.19652557373047,39.47226333618164,test
USA,2023Q2,3.566049337387085,3.0755960941314697,test
VNM,2023Q2,3.1565074920654297,2.20649790763855,test
ZAF,2023Q2,5.00363826751709,5.474931716918945,test
ARG,2023Q3,145.7463836669922,125.2179183959961,test
AUS,2023Q3,4.051970481872559,4.696062088012695,test
